Filename,Original ADR Text,Approx Match - Standard Code,Approx Match - Standard Text,Approx Match - SCT Text,Approx Match - Fuzzy Similarity,Embedding Match - Standard Code,Embedding Match - Standard Text,Embedding Match - SCT Text,Embedding Match - Cosine Similarity
LIPITOR.95.ann,leg cramps,449917004,Cramp in lower limb,leg cramps,100,449917004,Cramp in lower limb,leg cramps,1.0
LIPITOR.95.ann,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
LIPITOR.969.ann,Severe pain in my calf muscles,76948002,Severe pain,Severe pain in my calf muscles,100,76948002,Severe pain,Severe pain in my calf muscles,1.0
LIPITOR.969.ann,pain was too severe,76948002,Severe pain,pain was too severe,100,76948002,Severe pain,pain was too severe,1.0
LIPITOR.969.ann,could not even walk in the morning,228158008,Walking disability,could not even walk in the morning,100,228158008,Walking disability,could not even walk in the morning,1.0
LIPITOR.969.ann,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
LIPITOR.969.ann,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.81.ann,constant pain,426206001,Constant pain,constant pain,100,426206001,Constant pain,constant pain,1.0
LIPITOR.81.ann,abdominal pain,21522001,Abdominal pain,abdominal pain,100,21522001,Abdominal pain,abdominal pain,1.0
LIPITOR.81.ann,intermittent pain,314642004,Intermittent pain,intermittent pain,100,314642004,Intermittent pain,intermittent pain,1.0
LIPITOR.81.ann,unable to walk,282145008,Unable to walk,unable to walk,100,282145008,Unable to walk,unable to walk,1.0
LIPITOR.81.ann,pain in the leg,10601006,Pain in lower limb,pain in the leg,100,10601006,Pain in lower limb,pain in the leg,1.0
LIPITOR.81.ann,tingling of feet,62507009,Pins and needles,tingling of feet,100,62507009,Pins and needles,tingling of feet,1.0
LIPITOR.81.ann,elevated liver function,67251005,Increased liver function,elevated liver function,100,67251005,Increased liver function,elevated liver function,1.0
LIPITOR.941.ann,Deep depression,35489007,Depression,Deep depression,100,35489007,Depression,Deep depression,1.0
LIPITOR.941.ann,insomnia,193462001,Insomnia,insomnia,100,193462001,Insomnia,insomnia,1.0
LIPITOR.941.ann,joint stiffness in feet,225610004,Stiff limbs,joint stiffness in feet,100,225610004,Stiff limbs,joint stiffness in feet,1.0
LIPITOR.941.ann,joint stiffness in hands,249915009,Hand joint stiff,joint stiffness in hands,100,249915009,Hand joint stiff,joint stiffness in hands,1.0
LIPITOR.941.ann,inability to think clearly,247640008,Unable to think clearly,inability to think clearly,100,247640008,Unable to think clearly,inability to think clearly,1.0
LIPITOR.799.ann,tiredeness,267031002,Tiredness symptom,tiredeness,100,267031002,Tiredness symptom,tiredeness,1.0
LIPITOR.955.ann,joint pain (knees),30989003,Knee pain,joint pain (knees),100,30989003,Knee pain,joint pain (knees),1.0
LIPITOR.955.ann,painfull welts on bottom of feet,247472004,Hives,painfull welts on bottom of feet,100,247472004,Hives,painfull welts on bottom of feet,1.0
LIPITOR.955.ann,permanent joint damage,125610000,Joint injury,permanent joint damage,100,125610000,Joint injury,permanent joint damage,1.0
LIPITOR.1000.ann,Shoulder pain,45326000,Shoulder pain,Shoulder pain,100,45326000,Shoulder pain,Shoulder pain,1.0
LIPITOR.1000.ann,knee pain,30989003,Knee pain,knee pain,100,30989003,Knee pain,knee pain,1.0
LIPITOR.1000.ann,elbow pain,74323005,Pain in elbow,elbow pain,100,74323005,Pain in elbow,elbow pain,1.0
LIPITOR.1000.ann,Memory fog,386807006,Memory impairment,Memory fog,100,386807006,Memory impairment,Memory fog,1.0
LIPITOR.1000.ann,Anxiety,48694002,Anxiety,Anxiety,100,48694002,Anxiety,Anxiety,1.0
LIPITOR.1000.ann,Low Libido,8357008,Reduced libido,Low Libido,100,8357008,Reduced libido,Low Libido,1.0
LIPITOR.1000.ann,brain fog,419723007,Mentally dull,brain fog,100,419723007,Mentally dull,brain fog,1.0
LIPITOR.1000.ann,joint pain,57676002,Arthralgia,joint pain,100,57676002,Arthralgia,joint pain,1.0
LIPITOR.1000.ann,inflamation,128139000,Inflammatory disorder,inflamation,100,128139000,Inflammatory disorder,inflamation,1.0
LIPITOR.1000.ann,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.1000.ann,left shoulder is terribly painful,45326000,Shoulder pain,left shoulder is terribly painful,100,45326000,Shoulder pain,left shoulder is terribly painful,1.0
LIPITOR.56.ann,Burning feet,36031001,Burning feet,Burning feet,100,36031001,Burning feet,Burning feet,1.0
LIPITOR.56.ann,Frozen Shoulder,399114005,Adhesive capsulitis of shoulder,Frozen Shoulder,100,399114005,Adhesive capsulitis of shoulder,Frozen Shoulder,1.0
LIPITOR.56.ann,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.56.ann,shoulder painful,45326000,Shoulder pain,shoulder painful,100,45326000,Shoulder pain,shoulder painful,1.0
LIPITOR.56.ann,could not raise my arms,284143002,Difficulty moving arm,could not raise my arms,100,284143002,Difficulty moving arm,could not raise my arms,1.0
LIPITOR.56.ann,shoulder pain,45326000,Shoulder pain,shoulder pain,100,45326000,Shoulder pain,shoulder pain,1.0
LIPITOR.56.ann,Memory Loss,48167000,Amnesia,Memory Loss,100,48167000,Amnesia,Memory Loss,1.0
LIPITOR.766.ann,syncope,271594007,Syncope,syncope,100,271594007,Syncope,syncope,1.0
LIPITOR.766.ann,hypertension,38341003,Hypertension,hypertension,100,38341003,Hypertension,hypertension,1.0
LIPITOR.766.ann,labyrinthitis,23919004,Labyrinthitis,labyrinthitis,100,23919004,Labyrinthitis,labyrinthitis,1.0
LIPITOR.766.ann,irretractable lower back pain,274665008,Chronic intractable pain,irretractable lower back pain,100,274665008,Chronic intractable pain,irretractable lower back pain,1.0
LIPITOR.766.ann,weight gain,8943002,Weight gain,weight gain,100,8943002,Weight gain,weight gain,1.0
LIPITOR.766.ann,periorbital edema,49563000,Periorbital oedema,periorbital edema,100,49563000,Periorbital oedema,periorbital edema,1.0
LIPITOR.766.ann,fatigue,84229001,Fatigue,fatigue,100,84229001,Fatigue,fatigue,1.0
LIPITOR.766.ann,lack of libido,248096004,Lack of libido,lack of libido,100,248096004,Lack of libido,lack of libido,1.0
LIPITOR.766.ann,detachment,8943002,Weight gain,weight gain,38,271594007,Syncope,syncope,0.2551
LIPITOR.772.ann,severe muscle pain in my shoulders,76948002,Severe pain,severe muscle pain in my shoulders,100,76948002,Severe pain,severe muscle pain in my shoulders,1.0
