file,precision,recall,f1,fuzzy_score,semantic_similarity,boundary_overlap,orig_count,proc_count
LIPITOR.374,0.0,0.0,0.0,32.0,0.2502821683883667,0.0,1,1
LIPITOR.39,0.0,0.0,0.0,78.0,0.8667678833007812,0.0,4,1
LIPITOR.699,0.0,0.0,0.0,80.0,0.8517282009124756,0.13043478260869565,3,1
LIPITOR.28,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.487,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.551,0.0,0.0,0.0,76.0,0.852362334728241,0.0,4,1
LIPITOR.743,0.0,0.0,0.0,43.0,0.1562846153974533,0.0,2,1
LIPITOR.664,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.205,1.0,0.16666666666666666,0.2857142857142857,100.0,1.0000001192092896,0.725,21,5
LIPITOR.291,0.6666666666666666,0.3333333333333333,0.4444444444444444,81.33333333333333,0.8333074450492859,0.5166666666666667,6,3
ARTHROTEC.59,1.0,0.2727272727272727,0.42857142857142855,100.0,1.0,0.10526315789473684,11,3
LIPITOR.427,0.3333333333333333,0.25,0.28571428571428575,63.0,0.6705625653266907,0.0,6,3
VOLTAREN.43,1.0,0.5,0.6666666666666666,100.0,1.0000001192092896,0.0,2,1
LIPITOR.705,0.0,0.0,0.0,18.5,0.15991303324699402,0.09166666666666667,4,4
LIPITOR.984,0.0,0.0,0.0,0.0,0.0,0.0,0,1
VOLTAREN.8,0.6666666666666666,0.125,0.21052631578947367,85.66666666666667,0.8166339993476868,0.0,16,3
ARTHROTEC.121,0.0,0.0,0.0,31.0,0.2111539989709854,0.0,4,1
LIPITOR.389,1.0,0.16666666666666666,0.2857142857142857,100.0,1.0,0.0,13,2
LIPITOR.540,0.0,0.0,0.0,0.0,0.0,0.0,0,1
ARTHROTEC.27,0.0,0.0,0.0,30.0,0.18375016748905182,0.0,2,1
LIPITOR.836,0.4,0.6666666666666666,0.5,62.2,0.7175911664962769,0.2788405797101449,3,5
LIPITOR.601,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.911,0.0,0.0,0.0,54.0,0.6435120105743408,0.2761904761904762,4,2
LIPITOR.740,0.0,0.0,0.0,25.0,0.1423514485359192,0.0,1,1
LIPITOR.692,0.0,0.0,0.0,44.0,0.24419593811035156,0.0,2,1
LIPITOR.800,0.0,0.0,0.0,34.0,0.32738399505615234,0.17647058823529413,7,4
LIPITOR.945,0.0,0.0,0.0,21.0,0.264352023601532,0.0,5,1
ARTHROTEC.71,1.0,0.3333333333333333,0.5,100.0,1.0,0.25,3,1
VOLTAREN.3,0.0,0.0,0.0,44.0,0.5073328018188477,0.0,3,2
LIPITOR.754,0.0,0.0,0.0,57.0,0.7881808280944824,0.0,8,1
LIPITOR.74,0.4,0.4,0.4000000000000001,78.4,0.8632215261459351,0.1493498452012384,5,5
LIPITOR.991,0.0,0.0,0.0,37.0,0.20834623277187347,0.0,4,1
LIPITOR.816,0.0,0.0,0.0,48.8,0.6004579067230225,0.2373015873015873,4,5
LIPITOR.591,0.0,0.0,0.0,54.0,0.6436483263969421,0.0,4,3
LIPITOR.323,0.0,0.0,0.0,40.0,0.24613524973392487,0.6153846153846154,11,1
VOLTAREN-XR.21,0.0,0.0,0.0,32.0,0.31227755546569824,0.0,3,1
LIPITOR.614,0.0,0.0,0.0,22.0,0.3303144872188568,0.0,3,2
LIPITOR.923,0.0,0.0,0.0,27.0,0.20235872268676758,0.0,1,1
LIPITOR.526,1.0,0.25,0.4,100.0,0.9999999403953552,0.0,4,1
LIPITOR.173,0.5,0.5,0.5,62.6,0.6537018418312073,0.0,4,5
ARTHROTEC.67,0.0,0.0,0.0,47.333333333333336,0.612771213054657,0.24845679012345678,3,3
LIPITOR.580,0.0,0.0,0.0,35.0,0.30112677812576294,0.0,2,1
VOLTAREN.16,0.5,1.0,0.6666666666666666,58.5,0.7227990031242371,0.0,1,2
ARTHROTEC.47,0.3333333333333333,0.2,0.25,66.33333333333333,0.6998915672302246,0.2443181818181818,5,3
ARTHROTEC.68,0.0,0.0,0.0,67.0,0.7964162230491638,0.0,3,1
LIPITOR.359,1.0,0.4444444444444444,0.6153846153846153,100.0,1.0,0.04532967032967033,14,8
LIPITOR.117,0.0,0.0,0.0,14.0,0.42821604013442993,0.0,1,1
LIPITOR.222,0.6666666666666666,0.18181818181818182,0.28571428571428575,77.66666666666667,0.7920904755592346,0.0,11,3
LIPITOR.377,0.0,0.0,0.0,53.2,0.4929843842983246,0.030555555555555558,8,10
ARTHROTEC.33,0.0,0.0,0.0,25.0,0.3314906060695648,0.0,1,1
LIPITOR.550,0.0,0.0,0.0,0.0,0.0,0.0,0,1
ARTHROTEC.55,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.301,0.0,0.0,0.0,32.5,0.22157925367355347,0.0,4,2
LIPITOR.611,0.0,0.0,0.0,32.0,0.15391920506954193,0.0,2,1
LIPITOR.564,0.0,0.0,0.0,41.0,0.40462541580200195,0.0,11,2
LIPITOR.154,0.6666666666666666,0.5,0.5714285714285715,88.4,0.8599532842636108,0.0,4,5
VOLTAREN.27,1.0,0.5,0.6666666666666666,100.0,1.0000001192092896,0.3333333333333333,2,1
LIPITOR.69,1.0,0.14285714285714285,0.25,100.0,1.0000001192092896,0.11764705882352941,7,1
LIPITOR.349,0.5,0.3333333333333333,0.4,86.0,0.9421831369400024,0.0,4,2
VOLTAREN.30,0.5,0.1111111111111111,0.1818181818181818,65.5,0.6860080361366272,0.38666666666666666,10,2
VOLTAREN.45,0.8,0.6666666666666666,0.7272727272727272,93.4,0.9731297492980957,0.5944444444444444,6,5
LIPITOR.556,0.0,0.0,0.0,30.0,0.18858137726783752,0.0,1,2
VOLTAREN.5,0.0,0.0,0.0,43.5,0.5044711232185364,0.0,1,2
LIPITOR.218,0.0,0.0,0.0,35.0,0.2280057668685913,0.0,1,1
ARTHROTEC.15,0.5,0.3333333333333333,0.4,61.5,0.574498176574707,0.375,3,2
LIPITOR.308,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.230,0.0,0.0,0.0,40.0,0.31033414602279663,0.0,3,1
LIPITOR.80,0.0,0.0,0.0,39.0,0.2903154492378235,0.0,8,1
LIPITOR.880,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.675,0.0,0.0,0.0,29.0,0.20644667744636536,0.0,2,1
LIPITOR.620,0.0,0.0,0.0,34.75,0.21282070875167847,0.12040133779264214,5,4
LIPITOR.73,0.0,0.0,0.0,34.0,0.3407440483570099,0.023809523809523808,1,3
LIPITOR.609,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.391,0.0,0.0,0.0,32.0,0.3345239460468292,0.0,4,1
LIPITOR.507,0.0,0.0,0.0,47.0,0.3289729058742523,0.0,10,1
LIPITOR.862,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.952,0.0,0.0,0.0,0.0,0.0,0.0,0,1
LIPITOR.617,0.5,1.0,0.6666666666666666,58.5,0.7148231267929077,0.0,1,2
LIPITOR.568,1.0,0.07692307692307693,0.14285714285714288,100.0,1.0000001192092896,0.0,14,2
LIPITOR.499,0.0,0.0,0.0,29.0,0.2764809727668762,0.0,3,1
ARTHROTEC.110,0.0,0.0,0.0,38.0,0.49992209672927856,0.07142857142857142,6,1
LIPITOR.947,0.0,0.0,0.0,34.2,0.2916901111602783,0.1125,8,5
LIPITOR.273,1.0,0.14285714285714285,0.25,100.0,1.0000001192092896,0.027777777777777776,7,3
CATAFLAM.8,1.0,1.0,1.0,100.0,1.0000001192092896,0.5555555555555556,1,1
LIPITOR.223,1.0,0.3333333333333333,0.5,100.0,1.0000001192092896,0.06060606060606061,7,3
LIPITOR.191,0.0,0.0,0.0,25.0,0.5118628144264221,0.1282051282051282,3,2
LIPITOR.478,0.0,0.0,0.0,23.333333333333332,0.18187987804412842,0.15925925925925927,3,3
DICLOFENAC-SODIUM.7,0.5,0.6,0.5454545454545454,67.16666666666667,0.6665216088294983,0.0,5,6
LIPITOR.8,0.6,0.75,0.6666666666666665,69.5,0.7052887082099915,0.038461538461538464,6,6
LIPITOR.421,0.6666666666666666,0.4,0.5,71.0,0.7499610185623169,0.134375,5,4
