Directory,Original ADR Text,Approx Match - Standard Code,Approx Match - Standard Text,Approx Match - SCT Text,Approx Match - Fuzzy Similarity,Embedding Match - Standard Code,Embedding Match - Standard Text,Embedding Match - SCT Text,Embedding Match - Cosine Similarity
LIPITOR.625,side effects,3877011000036101,Lipitor,Lipitor,21,3877011000036101,Lipitor,Lipitor,0.2098
LIPITOR.870,inflamation,128139000,Inflammatory disorder,inflamation,100,128139000,Inflammatory disorder,inflamation,1.0
LIPITOR.870,side effects,56265001,Heart disease,heart disease,32,76948002,Severe pain,horrible pain,0.3225
LIPITOR.246,reaction,21496011000036106,prednisone,Predisone,59,3877011000036101,Lipitor,Lipitor,0.2997
LIPITOR.622,extreme fatigue,13791008,Asthenia,extreme fatigue,100,13791008,Asthenia,extreme fatigue,1.0
LIPITOR.622,muscle weakness,26544005,Muscle weakness,muscle weakness,100,26544005,Muscle weakness,muscle weakness,1.0
LIPITOR.622,depression,35489007,Depression,depression,100,35489007,Depression,depression,1.0
ARTHROTEC.86,stomach hurt,271681002,Stomach ache,stomach hurt soooo bad,71,271681002,Stomach ache,stomach pain,0.9388
ARTHROTEC.86,stomach pain,271681002,Stomach ache,stomach pain,100,271681002,Stomach ache,stomach pain,1.0
ARTHROTEC.86,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
LIPITOR.614,side effects,88092000,Muscle atrophy,wasting of muscles,40,22253000,Pain,pain,0.3189
LIPITOR.614,side-effects,88092000,Muscle atrophy,wasting of muscles,33,22253000,Pain,pain,0.3417
LIPITOR.270,burning feet,36031001,Burning feet,burning feet,100,36031001,Burning feet,burning feet,1.0
LIPITOR.270,painful heels,2733002,Heel pain,painful heels,100,2733002,Heel pain,painful heels,1.0
LIPITOR.284,reaction,21930011000036101,ezetimibe,Zetia,46,55929007,Feeling irritable,irritability,0.3323
LIPITOR.284,side-effects,310495003,Mild depression,mild depression,37,55929007,Feeling irritable,irritability,0.3617
LIPITOR.841,discomfort,247347003,Discomfort,discomfort in my legs,65,247347003,Discomfort,discomfort in my legs,0.6
LIPITOR.841,worst,3877011000036101,Lipitor,Lipitor,33,68962001,Myalgia,myalgia,0.2496
LIPITOR.841,myalgia,68962001,Myalgia,myalgia,100,68962001,Myalgia,myalgia,1.0
LIPITOR.841,worst,3877011000036101,Lipitor,Lipitor,33,68962001,Myalgia,myalgia,0.2496
LIPITOR.841,toxic,3877011000036101,Lipitor,Lipitor,33,3877011000036101,Lipitor,Lipitor,0.2802
ARTHROTEC.44,side effects,162076009,Excessive upper gastrointestinal gas,bad gas,32,422587007,Nausea,nausea,0.4999
ARTHROTEC.44,gas,162076009,Excessive upper gastrointestinal gas,bad gas,60,162076009,Excessive upper gastrointestinal gas,bad gas,0.7955
ARTHROTEC.44,SEVERE diarrhea,62315008,Diarrhoea,SEVERE diarrhea,100,62315008,Diarrhoea,SEVERE diarrhea,1.0
ARTHROTEC.44,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
ARTHROTEC.88,bloody,34436003,Haematuria,urine is bloody,57,34436003,Haematuria,urine is bloody,0.5621
LIPITOR.283,reaction,449917004,Cramp in lower limb,leg cramps,22,23924001,Tight chest,tighening of the chest,0.1618
LIPITOR.613,pain,3877011000036101,Lipitor,lipitor,36,76948002,Severe pain,horrible pain in both shoulders,0.4832
